;AnoMes;quantidadePix;valorPix;quantidadeTED;valorTED;quantidadeTEC;valorTEC;quantidadeCheque;valorCheque;quantidadeBoleto;valorBoleto;quantidadeDOC;valorDOC
33;202201;1284230,01;636333,2;84458,74;3042937,65;675,96;1441,29;16195,58;47613,5;343641,99;420659,17;4193,62;3920,09
34;202112;1442212,36;714884,43;105998,02;3670235,48;1305,51;2524,43;18159,22;54523,81;357708,47;452537,25;5017,86;4698,79
35;202111;1226445,29;620923,1;96520,8;3046202,31;691,57;1416,04;18274,71;53233,05;361368,8;443844,71;5648,19;4725,76
36;202110;1167627,95;580611,15;91544,91;3090855,32;681,7;1495,72;17160,27;49988,27;342504,64;412222,98;6050,76;4742,44
37;202109;1028427,24;553183,59;94312,02;3089309,13;624,11;1330,64;17902,58;52527,15;349225,18;420768,07;6205,63;5002,1
38;202108;961033,47;529325,7;99440,21;3159715,32;402,95;790,52;18734,59;55032,48;360595,99;427123,67;10095,59;8283,09
39;202107;873876,23;474406,92;102448,1;3008021,83;763,01;1562,97;18196,26;52678,84;349844,73;404147,44;11366,75;9021,56
40;202106;735299,77;416301,68;107582,53;2980596,44;696,15;1464,76;18254,45;53161,69;342773,47;393852,08;10902,82;8958,66
41;202105;641530,48;376521,08;115346,16;2850298,09;489,86;983,25;18456,48;54201,28;341731,09;389564,26;10221,54;8444,29
42;202104;494733,63;312912,44;110989,05;2735892,74;693,38;1446,8;18441,84;52999,98;335530,74;374186,91;7535,06;5755,89
43;202103;389558,55;273005,19;119890,41;3083743,42;638,88;1272,87;21076,69;57274,71;358045,89;399875,9;8589,92;6559,22
44;202102;273167,83;195464,5;111617,8;2381021,03;740,59;1497,1;17997,84;46939,4;306432,32;338584,62;8622,89;6384,33
45;202101;199611,49;156576,83;122663,27;2429649,71;801,69;1582,47;18870,96;47363,18;314232,62;351809,62;14474,54;8834,15
46;202012;143339,29;120697,92;189261,59;2935690,91;1043,65;2065,64;22020,43;55376,12;353636,58;394356,67;16774,77;11369,78
47;202011;32867,36;29196,99;191703,38;2571188,87;750,55;1485,96;21885,21;52526,06;350564,46;375573,9;22362,97;13980,28
48;202010;0,0;0,0;193914,69;2529825,54;755,53;1585,81;21888,85;53427,37;336428,41;363359,84;19496,7;13355,08
49;202009;0,0;0,0;187549,69;2538287,06;697,58;1445,03;21590,82;53174,54;330602,01;350762,59;23097,5;16065,06
50;202008;0,0;0,0;176588,52;2416042,49;590,35;1185,33;21015,68;50576,38;324328,63;330214,39;26159,3;18046,1
51;202007;0,0;0,0;177019,49;2549652,69;736,45;1529,24;21524,58;50959,72;318767,44;315718,52;25121,11;18045,67
52;202006;0,0;0,0;140072,83;2225955,93;748,04;1551,23;21058,32;49372,39;290965,73;287917,02;29095,16;20513,66
53;202005;0,0;0,0;123833,66;1958424,79;765,13;1574,67;19814,84;48624,49;267217,37;255101,02;23640,52;16525,08
54;202004;0,0;0,0;117480,02;2082623,44;754,14;1521,42;22053,97;46751,93;263450,45;261763,97;21028,04;13842,41
55;202003;0,0;0,0;118460,64;2616470,45;781,54;1571,69;27008,77;56580,32;278115,86;303087,87;14918,99;10262,49
56;202002;0,0;0,0;102809,73;1894701,97;775,92;1562,95;24455,11;54005,38;253409,5;282068,23;13564,79;9365,19
57;202001;0,0;0,0;108115,83;2140962,71;859,02;1694,92;27729,48;62656,46;272526,14;313258,85;15019,77;11000,87
